POSITION,CLUB,POINTS,JOUÉS,GAGNÉS,NULS,PERDUS,BUTS POUR,BUTS CONTRE,DIFF.
1,PARIS SAINT-GERMAIN,65,26,21,2,3,71,24,47
2,OLYMPIQUE DE MARSEILLE,52,26,15,7,4,36,25,11
3,STADE RENNAIS FC,44,26,13,5,8,31,24,7
4,LOSC LILLE,43,26,13,4,9,33,27,6
5,AS MONACO,39,26,11,6,9,42,41,1
6,RC STRASBOURG ALSACE,38,26,11,5,10,32,29,3
7,OLYMPIQUE LYONNAIS,37,26,10,7,9,40,26,14
8,STADE DE REIMS,37,26,9,10,7,24,20,4
9,MONTPELLIER HÉRAULT SC,37,26,10,7,9,32,29,3
10,OGC NICE,37,26,10,7,9,38,36,2
11,FC NANTES,37,26,11,4,11,28,28,0
12,FC GIRONDINS DE BORDEAUX,35,26,9,8,9,38,32,6
13,STADE BRESTOIS 29,34,26,8,10,8,34,35,-1
14,ANGERS SCO,33,26,9,6,11,25,33,-8
15,AS SAINT-ÉTIENNE,29,26,8,5,13,28,42,-14
16,FC METZ,28,26,6,10,10,24,34,-10
17,DIJON FCO,27,26,6,9,11,25,32,-7
18,NÎMES OLYMPIQUE,27,26,7,6,13,26,39,-13
19,AMIENS SC,23,27,4,11,12,33,51,-18
20,TOULOUSE FC,13,26,3,4,19,21,54,-33
