POSITION,Joueur,Club,Nationalité,Buts
1,Wissam BEN YEDDER                                                        ,AS MONACO                                                        ,FRA                                                        ,16
2,Kylian MBAPPE                                                        ,PARIS SAINT-GERMAIN                                                        ,FRA                                                        ,15
3,Moussa DEMBELE                                                        ,OLYMPIQUE LYONNAIS                                                        ,FRA                                                        ,13
4,NEYMAR JR                                                        ,PARIS SAINT-GERMAIN                                                        ,BRE                                                        ,13
5,Habib DIALLO                                                        ,FC METZ                                                        ,SEN                                                        ,12
6,Victor OSIMHEN                                                        ,LOSC LILLE                                                        ,NIG                                                        ,12
7,Mauro ICARDI                                                        ,PARIS SAINT-GERMAIN                                                        ,ARG                                                        ,10
8,Andy DELORT                                                        ,MONTPELLIER HÉRAULT SC                                                        ,FRA                                                        ,9
9,Memphis DEPAY                                                        ,OLYMPIQUE LYONNAIS                                                        ,HOL                                                        ,9
10,Adrien THOMASSON                                                        ,RC STRASBOURG ALSACE                                                        ,FRA                                                        ,8
11,Kasper DOLBERG                                                        ,OGC NICE                                                        ,DAN                                                        ,8
12,M'Baye NIANG                                                        ,STADE RENNAIS FC                                                        ,FRA                                                        ,8
13,Angel DI MARIA                                                        ,PARIS SAINT-GERMAIN                                                        ,ARG                                                        ,8
14,Islam SLIMANI                                                        ,AS MONACO                                                        ,ALG                                                        ,8
15,Ludovic AJORQUE                                                        ,RC STRASBOURG ALSACE                                                        ,FRA                                                        ,8
16,Dimitri PAYET                                                        ,OLYMPIQUE DE MARSEILLE                                                        ,FRA                                                        ,8
17,Dario BENEDETTO                                                        ,OLYMPIQUE DE MARSEILLE                                                        ,ARG                                                        ,7
18,Denis BOUANGA                                                        ,AS SAINT-ÉTIENNE                                                        ,GAB                                                        ,7
19,Wylan CYPRIEN                                                        ,OGC NICE                                                        ,FRA                                                        ,7
20,Florent MOLLET                                                        ,MONTPELLIER HÉRAULT SC                                                        ,FRA                                                        ,6
21,Boulaye DIA                                                        ,STADE DE REIMS                                                        ,FRA                                                        ,6
22,Romain HAMOUMA                                                        ,AS SAINT-ÉTIENNE                                                        ,FRA                                                        ,6
23,Rachid ALIOUI                                                        ,ANGERS SCO                                                        ,FRA                                                        ,6
24,Adrien HUNOU                                                        ,STADE RENNAIS FC                                                        ,FRA                                                        ,6
25,Jimmy BRIAND                                                        ,FC GIRONDINS DE BORDEAUX                                                        ,FRA                                                        ,6
26,Serhou GUIRASSY                                                        ,AMIENS SC                                                        ,FRA                                                        ,6
27,Moses SIMON                                                        ,FC NANTES                                                        ,NIG                                                        ,5
28,Gaëtan LABORDE                                                        ,MONTPELLIER HÉRAULT SC                                                        ,FRA                                                        ,5
29,Irvin CARDONA                                                        ,STADE BRESTOIS 29                                                        ,FRA                                                        ,5
30,Romain PHILIPPOTEAUX                                                        ,NÎMES OLYMPIQUE                                                        ,FRA                                                        ,5
31,Mama BALDE                                                        ,DIJON FCO                                                        ,POR                                                        ,5
32,Josh MAJA                                                        ,FC GIRONDINS DE BORDEAUX                                                        ,NIG                                                        ,5
33,Nemanja RADONJIC                                                        ,OLYMPIQUE DE MARSEILLE                                                        ,SER                                                        ,5
34,Ludovic BLAS                                                        ,FC NANTES                                                        ,FRA                                                        ,5
35,Steven MENDOZA                                                        ,AMIENS SC                                                        ,COL                                                        ,5
36,Stephy MAVIDIDI                                                        ,DIJON FCO                                                        ,ANG                                                        ,5
37,Nicolas DE PREVILLE                                                        ,FC GIRONDINS DE BORDEAUX                                                        ,FRA                                                        ,5
38,RAPHINHA                                                        ,STADE RENNAIS FC                                                        ,BRE                                                        ,5
39,Julio TAVARES                                                        ,DIJON FCO                                                        ,CAP                                                        ,5
40,Pierre LEES-MELOU                                                        ,OGC NICE                                                        ,FRA                                                        ,4
41,Keita BALDE                                                        ,AS MONACO                                                        ,SEN                                                        ,4
42,Maxwel CORNET                                                        ,OLYMPIQUE LYONNAIS                                                        ,IVO                                                        ,4
43,Ui-Jo HWANG                                                        ,FC GIRONDINS DE BORDEAUX                                                        ,CSU                                                        ,4
44,Rémi OUDIN                                                        ,FC GIRONDINS DE BORDEAUX                                                        ,FRA                                                        ,4
45,Opa NGUETTE                                                        ,FC METZ                                                        ,FRA                                                        ,4
46,Efthymios KOULOURIS                                                        ,TOULOUSE FC                                                        ,GRE                                                        ,4
47,Gelson MARTINS                                                        ,AS MONACO                                                        ,POR                                                        ,4
48,Loïc REMY                                                        ,LOSC LILLE                                                        ,FRA                                                        ,4
49,Kalifa COULIBALY                                                        ,FC NANTES                                                        ,MAI                                                        ,4
50,Téji SAVANIER                                                        ,MONTPELLIER HÉRAULT SC                                                        ,FRA                                                        ,4
