POSITION,CLUB,POINTS,JOUÉS,GAGNÉS,NULS,PERDUS,BUTS POUR,BUTS CONTRE,DIFF.,Pts/J,Bp/J,Bc/J
1,PARIS SAINT-GERMAIN,68,27,22,2,3,75,24,51,2.5185185185185186,2.7777777777777777,0.8888888888888888
2,OLYMPIQUE DE MARSEILLE,55,27,16,7,4,39,27,12,2.037037037037037,1.4444444444444444,1.0
3,STADE RENNAIS FC,47,27,14,5,8,33,24,9,1.7407407407407407,1.2222222222222223,0.8888888888888888
4,LOSC LILLE,46,27,14,4,9,34,27,7,1.7037037037037037,1.2592592592592593,1.0
5,OLYMPIQUE LYONNAIS,40,27,11,7,9,42,26,16,1.4814814814814814,1.5555555555555556,0.9629629629629629
6,MONTPELLIER HÉRAULT SC,40,27,11,7,9,35,29,6,1.4814814814814814,1.2962962962962963,1.0740740740740742
7,AS MONACO,40,27,11,7,9,43,42,1,1.4814814814814814,1.5925925925925926,1.5555555555555556
8,STADE DE REIMS,38,27,9,11,7,25,21,4,1.4074074074074074,0.9259259259259259,0.7777777777777778
9,OGC NICE,38,27,10,8,9,39,37,2,1.4074074074074074,1.4444444444444444,1.3703703703703705
10,RC STRASBOURG ALSACE,38,27,11,5,11,32,32,0,1.4074074074074074,1.1851851851851851,1.1851851851851851
11,FC NANTES,37,27,11,4,12,28,29,-1,1.3703703703703705,1.037037037037037,1.0740740740740742
12,FC GIRONDINS DE BORDEAUX,36,27,9,9,9,39,33,6,1.3333333333333333,1.4444444444444444,1.2222222222222223
13,ANGERS SCO,36,27,10,6,11,26,33,-7,1.3333333333333333,0.9629629629629629,1.2222222222222223
14,STADE BRESTOIS 29,34,27,8,10,9,34,36,-2,1.2592592592592593,1.2592592592592593,1.3333333333333333
15,FC METZ,31,27,7,10,10,25,34,-9,1.1481481481481481,0.9259259259259259,1.2592592592592593
16,AS SAINT-ÉTIENNE,29,27,8,5,14,28,44,-16,1.0740740740740742,1.037037037037037,1.6296296296296295
17,DIJON FCO,27,27,6,9,12,25,36,-11,1.0,0.9259259259259259,1.3333333333333333
18,NÎMES OLYMPIQUE,27,27,7,6,14,28,42,-14,1.0,1.037037037037037,1.5555555555555556
19,AMIENS SC,22,27,4,10,13,29,48,-19,0.8148148148148148,1.0740740740740742,1.7777777777777777
20,TOULOUSE FC,13,27,3,4,20,21,56,-35,0.48148148148148145,0.7777777777777778,2.074074074074074
